Job Role,Required Skills,Experience,Keywords
Machine Learning Engineer,"Python, Deep Learning, Scikit-Learn, TensorFlow, Data Preprocessing",7+ years,"Model Tuning, AI, Algorithm Development"
IT Support Specialist,"Active Directory, Troubleshooting, Software Installation, Remote Support",6+ years,"Hardware, Ticketing, Incident Management, User Training"
Cloud Engineer,"Monitoring, Serverless, Azure, Terraform, Docker, Kubernetes",10+ years,"Cloud Migration, DevOps, Infrastructure as Code, Automation"
IT Support Specialist,"Linux, Troubleshooting, Active Directory, Help Desk, Remote Support, Software Installation, Windows, Customer Service",1+ years,"Hardware, Incident Management, Technical Support, Ticketing"
Network Engineer,"VPN, LAN, Firewalls, SDN, Cisco, Switching, Network Security",7+ years,"Monitoring, Troubleshooting"
Cybersecurity Analyst,"Cryptography, Incident Response, Risk Assessment, Penetration Testing, Vulnerability Management, SOC",8+ years,"Forensics, Threat Intelligence, SIEM"
IT Support Specialist,"Network Support, Troubleshooting, Active Directory, Windows, Software Installation, Remote Support",8+ years,"Hardware, Technical Support"
Data Scientist,"SQL, TensorFlow, Statistics, PyTorch, R, Python",10+ years,"Data Mining, A/B Testing, Predictive Modeling, Big Data"
Data Scientist,"Deep Learning, Machine Learning, Python, Statistics, PyTorch, R, SQL, Data Visualization, TensorFlow",5+ years,"Big Data, ETL, Data Mining, A/B Testing"
Machine Learning Engineer,"Model Deployment, Data Preprocessing, Deep Learning, Python, Computer Vision, TensorFlow, Scikit-Learn",8+ years,"AI, Big Data, Algorithm Development, Research, Model Tuning"
Network Engineer,"WAN, Network Security, LAN, Firewalls, Routing, Switching, SDN",12+ years,"Capacity Planning, Troubleshooting, Monitoring, QoS"
DevOps Engineer,"AWS, Jenkins, Ansible, Linux, CI/CD",4+ years,"Automation, Agile, Infrastructure as Code"
Machine Learning Engineer,"Model Deployment, Deep Learning, Computer Vision, TensorFlow, NLP, Data Preprocessing, PyTorch, Python",8+ years,"Research, AI"
IT Support Specialist,"Network Support, Active Directory, Windows, Customer Service, Linux, Troubleshooting, Software Installation, Help Desk",8+ years,"Ticketing, Incident Management"
Data Scientist,"Statistics, SQL, TensorFlow, Deep Learning, PyTorch, Data Visualization, R, Python",3+ years,"Data Mining, ETL, A/B Testing, Predictive Modeling, Big Data"
Network Engineer,"Routing, Network Security, SDN, Cisco, LAN, Switching, WAN, Firewalls",4+ years,"Capacity Planning, Monitoring, Troubleshooting, Network Design, QoS"
Machine Learning Engineer,"TensorFlow, NLP, Model Deployment, Data Preprocessing, Computer Vision, PyTorch, Scikit-Learn, Deep Learning",6+ years,"AI, Big Data, Algorithm Development, Model Tuning"
Network Engineer,"LAN, Switching, Network Security, Cisco",11+ years,"Capacity Planning, Network Design"
Machine Learning Engineer,"Data Preprocessing, NLP, TensorFlow, Computer Vision, Python, Scikit-Learn, Model Deployment, Deep Learning, PyTorch",9+ years,"Research, AI"
Cloud Engineer,"Kubernetes, Docker, Terraform, CI/CD",7+ years,"DevOps, Infrastructure as Code, Cloud Migration"
Network Engineer,"Cisco, SDN, LAN, Routing, WAN, Switching, Network Security, VPN, Firewalls",2+ years,"Monitoring, Troubleshooting, QoS, Network Design"
DevOps Engineer,"Ansible, Docker, Monitoring, CI/CD",7+ years,"Automation, Cloud, Scalability"
IT Support Specialist,"Remote Support, Customer Service, Linux, Software Installation, Network Support, Active Directory, Windows, Troubleshooting, Help Desk",6+ years,"User Training, Technical Support, Ticketing, Incident Management, Hardware"
Cybersecurity Analyst,"Penetration Testing, Cryptography, SOC, Vulnerability Management, Network Security",8+ years,"Threat Intelligence, SIEM, Mitigation"
Software Engineer,"Docker, Java, Git, Python, C++",7+ years,"Code Quality, Scalability, Agile Development, Unit Testing, Design Patterns"
IT Support Specialist,"Active Directory, Remote Support, Linux, Windows",6+ years,"User Training, Ticketing"
DevOps Engineer,"Terraform, CI/CD, Kubernetes, Ansible, Monitoring, Jenkins",7+ years,"Cloud, Infrastructure as Code, Automation"
Network Engineer,"VPN, Network Security, Routing, Cisco, Firewalls",12+ years,"Monitoring, Network Design, QoS, Troubleshooting"
Cybersecurity Analyst,"Risk Assessment, Incident Response, Vulnerability Management, Penetration Testing, Cryptography",6+ years,"Threat Intelligence, Compliance, Forensics"
Cybersecurity Analyst,"Network Security, Vulnerability Management, Risk Assessment, Penetration Testing",7+ years,"Threat Intelligence, Mitigation, Forensics, Compliance, SIEM"
Cybersecurity Analyst,"Risk Assessment, Penetration Testing, Incident Response, Vulnerability Management",5+ years,"Compliance, Mitigation, Threat Intelligence, SIEM, Forensics"
IT Support Specialist,"Linux, Remote Support, Software Installation, Network Support, Help Desk, Active Directory, Windows",4+ years,"Technical Support, Hardware, Ticketing"
Machine Learning Engineer,"TensorFlow, Deep Learning, NLP, Scikit-Learn, Computer Vision, Python, PyTorch, Model Deployment",3+ years,"Algorithm Development, AI, Big Data, Research, Model Tuning"
Cloud Engineer,"Monitoring, Kubernetes, CI/CD, Terraform, Azure, Serverless, AWS",9+ years,"Infrastructure as Code, Automation"
Software Engineer,"REST APIs, Python, Java, Agile, Git",3+ years,"Design Patterns, Code Quality"
Cloud Engineer,"Serverless, Docker, Monitoring, CI/CD",6+ years,"Cloud Migration, DevOps, Automation, Scalability, Infrastructure as Code"
Cybersecurity Analyst,"Risk Assessment, Vulnerability Management, Penetration Testing",7+ years,"Forensics, SIEM, Threat Intelligence, Compliance, Mitigation"
DevOps Engineer,"AWS, Monitoring, Linux, Kubernetes, Jenkins, Docker, Ansible, Terraform",10+ years,"Cloud, Automation, Infrastructure as Code"
Cloud Engineer,"Cloud Security, Terraform, Azure, Serverless",8+ years,"DevOps, Scalability"
Data Scientist,"SQL, Statistics, R, Machine Learning, PyTorch, Data Visualization, Deep Learning, TensorFlow",9+ years,"ETL, Predictive Modeling, Data Mining, Big Data, A/B Testing"
IT Support Specialist,"Software Installation, Customer Service, Network Support, Active Directory",8+ years,"User Training, Technical Support"
IT Support Specialist,"Software Installation, Linux, Help Desk, Network Support, Troubleshooting",8+ years,"Incident Management, User Training, Ticketing, Hardware, Technical Support"
IT Support Specialist,"Windows, Software Installation, Linux, Active Directory, Network Support, Troubleshooting, Help Desk",2+ years,"User Training, Hardware, Incident Management, Technical Support, Ticketing"
Machine Learning Engineer,"TensorFlow, NLP, Model Deployment, Computer Vision",9+ years,"AI, Research, Algorithm Development"
Cybersecurity Analyst,"Vulnerability Management, Incident Response, SOC, Risk Assessment, Network Security",7+ years,"Compliance, SIEM, Forensics, Threat Intelligence, Mitigation"
Network Engineer,"Cisco, Firewalls, Routing, SDN, Switching",3+ years,"QoS, Monitoring, Network Design, Troubleshooting"
Cloud Engineer,"Kubernetes, AWS, Azure, Cloud Security",7+ years,"Infrastructure as Code, Scalability, Automation"
Network Engineer,"SDN, Network Security, Firewalls, Cisco, Routing, LAN",5+ years,"Capacity Planning, Monitoring"
Cybersecurity Analyst,"Penetration Testing, Network Security, Risk Assessment, Cryptography, Vulnerability Management",7+ years,"Mitigation, Threat Intelligence, Forensics, Compliance"
DevOps Engineer,"AWS, Jenkins, Kubernetes, Terraform, Docker",7+ years,"Cloud, Automation, Scalability, Agile, Infrastructure as Code"
Machine Learning Engineer,"Scikit-Learn, Python, PyTorch, Computer Vision, TensorFlow, Data Preprocessing, Deep Learning, Model Deployment, NLP",4+ years,"Model Tuning, Big Data, Research, AI, Algorithm Development"
IT Support Specialist,"Software Installation, Customer Service, Troubleshooting, Linux",1+ years,"Hardware, Technical Support, Incident Management, Ticketing, User Training"
IT Support Specialist,"Help Desk, Troubleshooting, Network Support, Customer Service, Remote Support, Linux, Software Installation, Windows",1+ years,"Hardware, Ticketing"
Cybersecurity Analyst,"Cryptography, Penetration Testing, Network Security, Vulnerability Management, Risk Assessment, SOC",6+ years,"Mitigation, Compliance, Threat Intelligence, SIEM, Forensics"
DevOps Engineer,"Jenkins, Docker, Linux, Monitoring, AWS, CI/CD, Ansible, Terraform",7+ years,"Agile, Infrastructure as Code, Automation"
Cybersecurity Analyst,"Cryptography, Vulnerability Management, Network Security",11+ years,"Forensics, Mitigation, Threat Intelligence, Compliance"
Cloud Engineer,"Docker, Serverless, Monitoring, AWS, CI/CD, Terraform, Azure, Cloud Security, Kubernetes",6+ years,"Infrastructure as Code, Scalability"
Machine Learning Engineer,"PyTorch, Model Deployment, TensorFlow, Computer Vision, Python",6+ years,"Research, Big Data, Algorithm Development, Model Tuning"
Data Scientist,"R, Statistics, Machine Learning, SQL, Data Visualization, Deep Learning",7+ years,"A/B Testing, Predictive Modeling"
Data Scientist,"Statistics, R, Deep Learning, SQL",1+ years,"Predictive Modeling, A/B Testing, Data Mining, ETL"
IT Support Specialist,"Network Support, Software Installation, Customer Service, Active Directory, Linux, Help Desk, Troubleshooting, Windows, Remote Support",3+ years,"Ticketing, Technical Support, Hardware, Incident Management, User Training"
Software Engineer,"Git, Docker, Agile, Spring Boot, Python, Java, REST APIs, Microservices, C++",5+ years,"Agile Development, Unit Testing, Code Quality, Design Patterns"
Data Scientist,"R, TensorFlow, Python, Machine Learning, Deep Learning, Statistics, PyTorch, Data Visualization",4+ years,"A/B Testing, Big Data, ETL, Data Mining"
Network Engineer,"WAN, Network Security, Switching, Firewalls, LAN, SDN, VPN, Cisco, Routing",5+ years,"Troubleshooting, QoS, Monitoring"
Machine Learning Engineer,"Deep Learning, Scikit-Learn, PyTorch, TensorFlow",3+ years,"Algorithm Development, Research, Big Data, Model Tuning, AI"
Cloud Engineer,"Azure, Serverless, Monitoring, AWS, Terraform, Kubernetes, CI/CD, Docker, Cloud Security",6+ years,"DevOps, Cloud Migration, Automation, Infrastructure as Code, Scalability"
Software Engineer,"REST APIs, Docker, C++, Git, Microservices, Python, Java, Spring Boot",3+ years,"Unit Testing, Design Patterns"
Data Scientist,"Data Visualization, Deep Learning, Machine Learning, SQL, Statistics, PyTorch, TensorFlow",7+ years,"Data Mining, Predictive Modeling"
Data Scientist,"R, Data Visualization, Machine Learning, TensorFlow, Python, Statistics, SQL",10+ years,"Big Data, A/B Testing, Predictive Modeling"
DevOps Engineer,"Ansible, Jenkins, Kubernetes, Docker, AWS, Monitoring, Terraform, CI/CD",9+ years,"Cloud, Scalability"
Network Engineer,"Routing, Switching, WAN, Firewalls, Cisco, SDN",11+ years,"Monitoring, Troubleshooting, QoS"
Cloud Engineer,"Serverless, CI/CD, Azure, Docker, Terraform, Kubernetes, Monitoring, AWS, Cloud Security",10+ years,"Scalability, Cloud Migration, Automation, Infrastructure as Code, DevOps"
Cybersecurity Analyst,"SOC, Incident Response, Risk Assessment",12+ years,"Forensics, Compliance, Mitigation"
IT Support Specialist,"Remote Support, Help Desk, Active Directory, Network Support, Software Installation, Windows, Troubleshooting",5+ years,"User Training, Hardware"
Machine Learning Engineer,"Python, Deep Learning, Data Preprocessing, NLP, PyTorch, Model Deployment",4+ years,"Algorithm Development, Model Tuning, Research, AI"
Machine Learning Engineer,"Computer Vision, Python, TensorFlow, Scikit-Learn, Deep Learning, Data Preprocessing, NLP, Model Deployment, PyTorch",3+ years,"Big Data, AI, Algorithm Development"
IT Support Specialist,"Software Installation, Linux, Windows, Customer Service, Network Support, Remote Support, Active Directory, Help Desk",7+ years,"Incident Management, Ticketing, User Training"
Cloud Engineer,"AWS, Monitoring, Docker, Azure",10+ years,"Cloud Migration, Automation"
Machine Learning Engineer,"Python, Computer Vision, Deep Learning, PyTorch, TensorFlow",10+ years,"Algorithm Development, AI, Research"
Machine Learning Engineer,"Model Deployment, NLP, Computer Vision, TensorFlow, Python, PyTorch, Deep Learning, Data Preprocessing",8+ years,"AI, Model Tuning, Big Data"
IT Support Specialist,"Network Support, Linux, Help Desk, Troubleshooting, Windows",5+ years,"User Training, Hardware, Ticketing"
Cybersecurity Analyst,"Incident Response, Cryptography, Vulnerability Management, SOC",12+ years,"Compliance, Threat Intelligence, Mitigation"
Data Scientist,"Statistics, R, SQL, Deep Learning, Data Visualization, PyTorch, Machine Learning",8+ years,"Predictive Modeling, Data Mining, Big Data, ETL, A/B Testing"
Software Engineer,"Git, Python, C++, Docker, Spring Boot",8+ years,"Unit Testing, Design Patterns, Scalability"
Data Scientist,"Data Visualization, Python, SQL, Deep Learning, PyTorch, R, TensorFlow, Machine Learning, Statistics",8+ years,"Predictive Modeling, ETL, Big Data"
Software Engineer,"Docker, Microservices, Spring Boot, C++",6+ years,"Unit Testing, Scalability"
Network Engineer,"Routing, Network Security, VPN, WAN, SDN, Firewalls",2+ years,"Capacity Planning, Monitoring, Troubleshooting"
Machine Learning Engineer,"Deep Learning, Python, PyTorch, Model Deployment, TensorFlow, NLP, Computer Vision",8+ years,"AI, Big Data, Algorithm Development, Research"
Cybersecurity Analyst,"SOC, Cryptography, Penetration Testing, Risk Assessment, Vulnerability Management",12+ years,"Forensics, Compliance, Threat Intelligence, Mitigation"
Network Engineer,"Firewalls, WAN, Cisco, Switching",5+ years,"Capacity Planning, Network Design, Troubleshooting, QoS, Monitoring"
Network Engineer,"SDN, Cisco, Firewalls, VPN, Switching",12+ years,"Capacity Planning, Troubleshooting, QoS, Monitoring, Network Design"
DevOps Engineer,"Jenkins, Terraform, Kubernetes, Monitoring, Docker",7+ years,"Infrastructure as Code, Agile, Scalability"
Software Engineer,"REST APIs, Python, C++, Agile, Java, Spring Boot, Docker, Microservices, Git",5+ years,"Code Quality, Unit Testing, Scalability"
DevOps Engineer,"CI/CD, Monitoring, Terraform, AWS",3+ years,"Infrastructure as Code, Agile"
Software Engineer,"REST APIs, Docker, Git, Python, Microservices, Agile, Spring Boot",4+ years,"Unit Testing, Scalability, Design Patterns, Code Quality"
DevOps Engineer,"Docker, CI/CD, Terraform, Jenkins, Linux",2+ years,"Scalability, Cloud, Infrastructure as Code, Automation, Agile"
Machine Learning Engineer,"TensorFlow, NLP, Deep Learning, Python, Data Preprocessing, PyTorch, Scikit-Learn",8+ years,"AI, Big Data"
DevOps Engineer,"Monitoring, CI/CD, Ansible, AWS, Linux, Docker, Kubernetes, Terraform",10+ years,"Agile, Automation, Scalability, Infrastructure as Code"
Network Engineer,"WAN, Network Security, SDN, LAN, Switching, VPN",2+ years,"Capacity Planning, QoS, Monitoring, Troubleshooting, Network Design"
Software Engineer,"Docker, Agile, Spring Boot, Java",6+ years,"Scalability, Unit Testing, Design Patterns, Agile Development"
Machine Learning Engineer,"Data Preprocessing, Model Deployment, Deep Learning, Scikit-Learn",6+ years,"Algorithm Development, Research, AI, Big Data, Model Tuning"
Network Engineer,"Firewalls, SDN, Network Security, LAN, Routing, WAN, Cisco, Switching, VPN",3+ years,"QoS, Capacity Planning, Monitoring, Troubleshooting, Network Design"
Cybersecurity Analyst,"Risk Assessment, SOC, Network Security, Vulnerability Management",4+ years,"Threat Intelligence, Forensics, Compliance, Mitigation"
